I don’t trust doctors.  I don’t trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,You feel that your immune systems is strong enough to protect you from getting covid-19 and you don’t trust the motives of the health system and pharmaceutical industry. You don’t think they are telling us the truth about COVID-19.  They have ulterior motives.,Putting your trust in others is hard for you. It scares you that a company or entity potentially could be experimenting on you with their treatments.,You believe God will protect you from COVID-19.,"Well, we don’t know who is naturally able to avoid getting COVID-19.  The vaccine is the best way to avoid it even if you have a good immune system.  Most religious leaders are recommending that their congregants get vaccinated. ",Do you think everyone in healthcare is in it for the money?,"Otherwise, the fight against COVID is hard, so stop these thoughts.","Well, taking covid vaccine can help you in developing immunity against the virus. You won't be able to spread the virus among your closed ones. This can create a safe environment for everyone. So my advice is that you should get vaccinated as soon as possible.",How does your opinion affect the people around you?,antivax
"I will stay smoke free during the breastfeeding period, however, I am not determined to stay smoke free after. I am not sure what will happen but I don’t want to think about that.",You’re not quite sure if staying smoke-free is the right path for you and you’re not quite ready to talk about what may happen after you're done nursing.,Staying smoke free for your baby is really important to you. You definitely don't want to smoke while you're breastfeeding.,"You're not going to smoke while breastfeeding, but you might pick it back up later.","If you can not smoke for several months, then you should be able to maintain after you ween your baby.",Why can't you just stay quit?,"Just stop now and think that you are managing a life with a child, after that things will change.",If you can stay smoke free for that long im sure you can continue.,Well of course your health and that of your baby is the top priority. Just think of the aftermath once your baby is born.,drug cessation
This is not the time for me to talk about smoking. The baby takes all my energy and I don’t have energy to even think about smoking.,With the new baby you’re feeling depleted. The idea of talking about quitting is just too much right now.,You have way too much on your plate right now to consider quitting. Maybe if everything wasn't so overwhelming you'd feel differently.,You're too tired to stop smoking.,"Smoking is taking energy away from you by filling your lungs with carcinogens, toxics. You have to think about yourself. ",When can we talk about it then?,It’s good that you’re not thinking about smoking. However you need to try to manage your time better and not let the baby take up all of your energy. I know it’s easier said than done but it can be done.,"Ok, lets talk about energy.  What gives you energy?  Maybe find five minutes to do something that nourishes you from the inside out.",What type of things are you doing for self-care?,drug cessation
"Sure, iqmik probably isn’t good for me but it’s better than inhaling all that smoke and nasty stuff.","When compared to some of the other things you could be using, iqmik really isn’t that bad.",You find that Iqmik is convenient since you can use it whereever you go.,You feel it's better to use iqmik than to smoke.,"You're right. Iqmik isn't good for you. And no, it's not better than smoking. They're both bad for you. ",Do you really think it's better for you than smoking?,"It might be better, but in the long run it’s still bad for you. The point is that you need to get rid of all these bad habits that are good for your health now or in the future.",That may be true.  Let's concentrate on something that is good for you instead of something less bad.,Why do you think iqmik isn't good for you? What do you think could be a healthier alternative?,drug cessation
"I switched from cigarettes to iqmik to protect my baby, now you are telling me it is still bad. It’s the lessor of two evils if you ask me.",You’re feeling confused. You thought you were making a healthy choice switching from cigarettes to iqmik but now you’re finding out that iqmik can hurt your baby too so you’re not quite sure what to do.,You stopped cigarettes because you want to protect your baby.  And you feel iqmik is a better option for you and your health.,You switched from cigarettes to iqmik for the benefit of your baby.,You need to quit smoking and quit iqmik. Both are bad for you and will harm your baby.,You think it's ok for your baby if you use iqmik?,"It’s still evil though, that’s the key there. No matter which way you look at it it’s evil.","Anything that harms a child is bad, yes, always focus on the well-being of people, especially those most in need.",For our children at times we must reach deeper to achieve our goal.,drug cessation
At least iqmik doesn’t stink like cigarettes.,Iqmik feels like a better choice because you don’t have to deal with the smell.,"If iqmik did smell the same as cigarettes, you probably wouldn't use that either.  ",You like that iqmik doesn't smell like cigarettes.,"It may not stink, but there are plenty of other things wrong with it. ",You think that's the worst part?,It might not stink but it’s still not great for your health. Your eliminating one of the issues but not the biggest one.,"Help people who smoke to stop, sometimes simple conversation is a starting point.",Viewing the issue those the others lenses will help move forward the conversation,drug cessation
"People don’t judge you for iqmik like they do for smoking.  Plus, I can hide it from people and they don’t even know.",You feel judgement and shame because of your nicotine habit.,You don't like being judged because of your behaviors.,You like that you can use iqmik without everyone knowing.,People will judge you for iqmik just like they do for smoking.,You hide it?,Don't care about what others think. Think about how if affects your own health.,"You can hide it from people, but you can’t hide it from yourself. That’s all that matters is yourself. You know the damage that you’re doing to your body and it doesn’t matter what anyone else thinks.",But you are your self sabotaging yourself.,drug cessation
In our culture tobacco can be healthy. It helps cope with stress and is so much better than alcohol.,Tobacco feels like a healthier choice than some of the other things you could turn to to cope.,Finding a way to cope with stress is important to you. You've considered some other coping mechanisms but for right now you're using tobacco.,You use tobacco to cope with stress.,"You clearly haven't found something to help you cope. You need to find a healthy way to decompress like journaling, reading, exercising, or crafting. Alcohol is no better than smoking. ",Do you know all of the risks of smoking?,"But there are negative effects, running and releasing the endorphins in the body brings you happiness, relaxes and is also good for your mental and physical health.",Even with culture we most remember moderation in order to thrive in life.,All indicators are that tobacco use is not healthy but if you want to in moderation it's probably not as bad as some other things. My dad died of cancer at a young age and never smoked in his life. My brother died of cancer at a young age and smoked his whole life. I say it makes little if any difference so do whatever you want to.,drug cessation
I switched from smoking tobacco to chewing it because it is better for you.,"You like the idea of making decisions based on what’s best for your health. Since chewing tobacco is better for you, it makes more sense than smoking. ",You've put some thought into your behaviors and how they impact your health.,You switched to chewing for your health.,No. Smoking tobacco is no better for you.,Do you know the risks of chewing?,It is not better for you exactly. You could end up with mouth cancer.,Im sure that there are risks will checking tabacco also. Maybe you should try a gum or lozenge instead.,They are both bad for you so maybe you could quit the chew as well.,drug cessation
"I was upset to hear iqmik puts nicotine in breast milk, that is scary.",It’s a bit distressing to learn that the nicotine in iqmik is passed to your baby through your breastmilk.,It worried you to hear that nicotine is being passed to your baby through your breast milk.,You learned iqmik puts nicotine in your breast milk.,"Yes, iqmik does cause nicotine in your breast milk. If you continue to use it will harm your baby. ",Does learning that make you want to quit?,Everything that is bad for a person should be completely abolished.,That is upsetting to think that people would actually do something like this I think the best option for you is to make sure that the products you use are ethically made and sourced.,Are you sure this is true? Are the sources reliable? You must seek real knowledge and find out about the matter and then take action or worry about it.,drug cessation
I am under a lot of stress. The chew helps me get through the day.  I am raising three kids and now have another on the way.  How am I going to pay for all of this.  My husband lost his job last year.,"Your plate is overflowing. Along with 3 kids and a baby on the way, you’re also responsible for the family finances. ",You’re finding yourself overwhelmed and turning to chew to cope.,You use chew to deal with stress.,"Tell your husband to find a job. You shouldn't be dealing with this all on your own. And, quit chewing. That's a horrible way to handle stress. ","With everything going on, you thought it was a good idea to get pregnant again?","Your husband will get a job and instead of chewing it, start doing physical activities like walking.",VERY NICE,"I u derstand you are experiencing stress, perhaps we can come up with a healthier alternative than chew, maybe gum.",drug cessation
Our chew is more natural than that stuff you buy in the store.  At least I know where it comes from.  No artificial chemicals.,"Finding a natural, chemical free way to decompress is important to you. ","When compared to some of the other things you could be using, natural chew seems like a healthier choice. ",You pick a check without artifical chemicals.,You're kidding yourself if you think that's better for you.,Can you think of another way to cope besides chew?,"If you're confident that it will not result in any long-term conditions, then I can't tell you not to use it, but don't tell me I didn't warn you.",But you should consume good things that are good and not just because it is natural.,What about it is more natural? Why do you think this makes it safe to use?,drug cessation
"I was told by grandmother that tobacco helps the pregnancy, get you through the rough patches.",Finding a way to get through the struggles of pregnancy is something that you’d find helpful.,You're looking for some ways to help you get through the struggles of pregnany.,Your grandmother recommended tobacco.,That's horrible advice! Your Grandma is living in the dark ages.,Have you learned nothing from the black lung comerical ads?,I don’t know where your grandmother got this medical advice from. From everything you know and I know that is bad advice and it makes no sense.,This has never been indicated by an expert.,"Old wives tales are often not true, and sometimes dangerous. No doctor will recommend smoking in pregnancy.",drug cessation
"I guess if I knew it was bad for my baby then maybe I would consider quitting, but what else can I do about all the stress.",Staying away from things that could harm your baby is important to you.,"Ideally, you’d like to find a way to handle your stress that doesn’t harm your baby.",You'd consider quitting if you learned it was bad for your baby.,"Yes, it's very bad for your baby. Smoking during pregnancy increases the risk of health problems including preterm birth, low birth weight, and birth defects. ",Haven't you heard that smoking is bad for your baby?,"There are plenty of other ways that you can handle stress. If you need to find some of those way so you can quit, I’ll be glad to help you.","The action is up to you, and a begotten child changes people and you should change.",Have you looked into meditation or yoga? Both are different ways that many people find useful in pregnancy and everyday life.,drug cessation
It does waste a lot of money and my friends keep bugging me to quit.,You’re starting to see some of the reasons why quitting might be a good idea.,You realize that smoking is pretty expensive and you've started thinking about how else you could spend that money.,You know that smoking is a waste of money.,Saving money and your health while pleasing your friends are all excellent reasons to quit. Sounds like you have a lot of support for quitting.,Could you find something you want to buy with all the money you'll save by quitting?,"Wasting money is a point of view for each person, but always do what is good for you and for everyone.",Listen to your friends and try to save that money.,"I think quitting would be best for your health, try small steps toward your goal.",drug cessation
"I heard it may be addictive, that worries me. But then that means I may have withdrawal symptoms when I quit. Damned if you do and damned if you don’t.","You are torn. On one hand you're a bit worried about potential withdrawl systems if you choose to try quitting. But, on the other hand, you know that smoking is addictive and you're worried about what that mean for your long term health. ",It's disturbing to think about how addictive smoking is and what that means for your health.,"In this situation, it feels like there's no right answer. ","Yes, nicotine is a drug! It's been known to be just as addictive as heroin or cocaine. ",Have you thought about quitting?,"If you have an addictive personality, I would avoid it.","It’s not an easy thing to do, but in the long run it’s the best thing to do for your health. Nothing is easy and I have faith that you can handle this.","Don't do it, only that if you know the consequences, you know very well what you're getting into.",drug cessation
"I heard the blended, ground up bull is the worst, most addictive. I stay away from that.",Staying away from the most harmful bull is a decision that you make for your health.,You don't like the idea of using bull that's super addictive. You consciously make the decision to pick brands that you don't think are as addictive.,You think this blend is the most addictive.,Wrong. They're all equally addictive.,Can you just quit using it all together?,"Yes, of course, everything that hurts you has no reason to want it.","Yes, it must be. I think everyone has a taste. If you don't like it, it's okay to stay away. And if it hurts, even more.",That would be ideal to avoid any health complications.,drug cessation
"I iqmik before I have to do something creative, helps me focus.",You’ve found that iqmik can be helpful in keeping you on task.,"It's hard for you to concentrate sometimes on creative tasks. If you could find another way to focus, you might be wiling to give it a try. ",You use iqmik to stay on task and focus.,"You don't need iqmik to be creative. Elimate distractions, allow yourself breaks, get some healthy snacks. All of those are way better for you than iqmik. ",Can't you just elimate distractions to stay on task?,Keep calm and meditate .In that time some creative ideas comes into your mind,"That is great. When we stop and calculate the risks and how it will be, we are able to make good decisions. That in the future will be wonderful.",Maybe you can find healthier ways to help you focus,drug cessation
I’m scared of withdrawal if I quit iqmik. I heard it makes you really moody and stressed out.  That can’t be good for my baby.,You’re fearful that the mood swings that can go along with quitting could have a negative impact on your baby.,You're considering quitting but you're worried about how withdrawal symptoms might negatively impact your baby.,You're worried about withdrawal symptoms. `,The impact of mood swings on your baby are nothing compared to the damage you're doing to her growing body with iqmik.,Have you tried sucking something to keep your mouth busy?,You shouldn't worry about that. A withdrawal might be necessary for you to feel normal again.,"You can't be out rightly sure of what is good for your body or not until you meet an expert, my advice is to visit an expert to help you decide.","It's really not good, just change and think about your child's well being.",drug cessation
"Giving up Meth has been the hardest thing in my life. I have tried many, many times but the urge keeps coming back. I just think it controls me. It’s a F?&*ing demon. Maybe I just have to learn to live with the fact that I am an addict.","You’ve tried to stop and on some level you would like to give it up, but the fact that you keep coming back to it is making you start to fear you won’t ever be able to.",You're worried that you might truly be an addict. You feel out of control and like Meth completely has power over your entire life.,You're scared you'll never get over Meth.,You have to control your urges. You've had sucesses and it's important to stay focused on your reason for sobriety. You got this.,Have you considered joining a 12-step program?,"Demonio is not you, assume your actions ask for help and change.",Yeah I know that it very hard to give up Meth. But the truth is that only if your sacrifice something you could achieve something. You have deal life practically when time moves on everything with be alright. You must take an oath that you will not get back to Meth at any circumstances to come up in life.,"You Do have to live with being a demon. The challenge is not letting it control your life. Accept it, find a way to deal with it, and live your life. We are here to help.",drug cessation
I don’t have a drinking problem. I drink less than a lot of my friends. My dad is an alcoholic and I know what an alcoholic looks like.,At this point you’re not concerned about the amount of alcohol that you’re drinking. It feels minimal compared to your friends and your dad.,Growing up with an alcoholic as a father has had a significant impact on your life.,You're not convinced you have a problem with alcohol.,You're convinced you're not an alcoholic. You should try not drinking for a month and decide if you're like you're dad or not.,How do you know you're seeing yourself clearly?,"If your friends are alcoholics, then why would you want to compare yourself to them?","That's great that you aren't drinking as much as some others, but that doesn't mean you don't have a drinking problem. Do you have problems stopping drinking or feel like you ""have to have it?""",Are there any instances where you can think of where your drinking has caused any problem?,drug cessation
"I can control my drinking, I only drink on weekends and maybe once a week. I never drive wasted, I don’t do anything stupid. It is not like I’ve raped anyone.",You put substantial effort into making sure you're really only drinking on weekends with just one or two drinks during the week. You're committed to not getting behind the wheel drunk or doing anything dangerous to yourself or others.,It feels like you could be doing a lot worse than just drinking.,You can control your drinking.,"Maybe you could cut it out on weekends too, and driving under the influence might not feel like you're wasted. You could just feel buzzed. ",Do you know what you feel like when your blood alcohol level is below the legal limit?,I get the feeling that you are drinking more than your think. I would encourage you to keep a journal and update it every time you drink with type and quantity. And be honest with yourself. We'll look at the journal in a couple weeks and go from there.,Sometimes we feel like we can co trol our aubstance use but it can still get out of control.,What makes you say that you feel like you're in control,drug cessation
"Everyone I know smokes pot, I don’t even smoke as much as my friends.  ","As this point your smoking is pretty minimal and isn’t having much, if any, impact on your life. ",You're not really worried about smoking weed.,You don't smoke as much weed as your friends do.,Only 20% of Americans have used cannabis in the past year. You might consider getting new friends that don't smoke.,Are you thinking about quitting all together?,"You not smoking as much as your friends, doesn’t mean you’re not abusing it. You cannot compare yourself to just the people around you.","Don't smoke because you think it's beautiful because you belong to a group, marijuana is bad.",You have to take the driver seat of your life and stand out from your friends.,drug cessation
This is total bulls@#t. I might get kicked off the football team because I got caught with a friggin’  dime bag of weed. I could lose my scholarship. Everyone smokes and I just got unlucky getting caught.,"It feels unfair that of everyone who smokes, you’re the one who got caught and may have to deal with the consequences.",You're pissed off that you're the one who was caught.,You got caught with weed and might get kicked off the team.,"If you quit now, you could save your scholarship while using this to learn an important life lesson and be a spokesperson. ",Is it worth it to you to smoke again after this?,You should've been more careful. You knew the rules. Marijuana is still illegal in this state.,"This can and should happen, yes, you must know how to be more of a man and see what you want in life.","Unfortunately, the rules are that there is no smoking weed. If you can't pass the drug test, you'll have to understand that may be a consequence. Only you are responsible for your actions.",drug cessation
"I drink a bit and smoke a little weed. Sure, it ain’t good for me, but I don’t see how I can make it through the day without it. I am edgy all the time and have these nightmare images in my head. I am not a drug addict. This is just a short-term thing to get through the first few months back.","If you could find another way to get through the day without alcohol or weed, it might be something you’d consider, especially if it would help you feel less edgy and get rid of your nightmares.",You know that alcohol and weed aren't great for your health but you haven't been successfuly finding other ways to get through the day.,You're not a drug addict.,You sound defensive of your PTSD symptoms. I think you should talk to a therapist.,Have you ever felt guilty about your drinking or smoking?,You should look into medication. You need to figure out why you are so edgy all the time in the first place.,Ask for help and it will help and guide you to flee from drugs.,Would you be willing to talk about the images? Maybe we can find a way to get rid of them without self medications.,drug cessation
"So, have you ever smoked, or had to quit, how can you really relate to me?",You’re concerned I can’t understand you or won’t be able to help you.,"You're wondering whether or not I've ever smoked. If I haven't, you're concerned I won't be able to help you. ",You're worried I don't relate to you.,"Anyone can quit smoking if they're willing and supported. You chose to start smoking at some point, and can chose to quit now.  ",Are you really ready to quit smoking?,"Smoking occurs in many people, smoking is an addiction, but once you win, it's liberating.","I smoked about 10 years before finally quitting. It is a fight that many people have had, and even without smoking, addiction is a serious problem that a large group of our population fights with.",I have smoked for almost 20 years and I know how difficult it is to quit.,drug cessation
On weekends I love having a few joints and chilling.,You look forward to lighting up on weekends. It helps you decompress after a long week.,"After a busy week, you really need an outlet -- something to help you unwind. ",You smoke on the weekends.,"While it's good you've limited your smoking to just the weekends, a few joints can have long-term negative health consequences. You have to quit smoking all together to really improve your health. ",Have you tried using meditation as a way to relax and chill?,There’s nothing wrong with that. As long as you just keep it to a few and not get out of hand. I know many people downgrade marijuana but it’s still bad for you in the long run.,"Relaxing is good, as long as they are all things that are legal and do well.","It's great that you are able to take time for yourself on the weekends. However, remember that cannabis can become addictive.",drug cessation
On weekends I love having a few vikes (Vicodin) and chilling.,You look forward to using vicodin on weekends. It helps you decompress after a long week.,"After a busy week, you really need an outlet -- something to help you unwind. ",You use vicodin on the weekends.,"Vicodin is very addictive, and should only be used sparingly, under direct medical supervision. If you find you need them to calm down, then it sounds like there are other issues going on in your life that need addressed.",Do you have other ways to chill out besides popping pills?,"MAYBE YOU COULD FIND MORE NATURAL APPROACHES TO REPLACE THIS WITH. FOR EXAMPLE MEDITATION, ESSENTIAL OILS...",Do you know how vikes effect your body?,It would be nice if you could learn how to relax without taking pills.,drug cessation
I’ll probably drink less when I am older but for now I am going to party.,"Down the line you might want to consider changing how much you drink, but at this stage of your life it doesn't feel necessary to make any changes. ",At some point you may start to think that the amount you drink is too much.,You don't think you drink too much.,"You'll be older before you know it and by then will have some serious negative health consequences unless you reduce or eliminate your drinking now. You're building habits that will be harder to break, the longer you have them. ",At what age is older?,Have you thought about possible long term repercussions from drinking too much? It can damage your liver and make you more susceptible to cancer.,"It’s fine the party, but you need to be able to be in control of these partying times. It just takes one mistake to ruin everything for the rest of your life.","Don't think so, it destroys you inside without you realizing it.",drug cessation
Maybe sometimes I drink too much but I still get decent grades. I don’t really see the  big problem here. I don’t let it get in the way,You're able to keep yourself together even when you party.,Something about your drinking feels a little out of control. If your grades did start to get worse you might start to think about doing something about your drinking.,You drink too much every so often.,"Maybe drinking has yet to have a negative affect on your grades, but it is having unseen negative effects on your health. The longer you wait to change your behaviors, the harder it'll be to stop.  ",Do you want to wait until you bomb a class or end up with health problems before you stop drinking?,"Drinking too much is bad for anyone, try to dose it, it will make you get even better grades.","That's important, but you still need to be careful. Sometimes drinking gets worse.",drinking will lead to problems in future and make you mentally unstable to make decisions,drug cessation
"I know oxy ain’t good for me, but it is the only thing that makes me feel happy. It ain’t like I am shooting heroin. ","You've been feeling sad a lot lately and need something to get you through this difficult time. You've been turning to oxy, but you're starting to feel like you might be using it a bit more than you would like.",You know the oxy might be getting out of hand but you feel there are worse things you could be doing.,You use oxy as a pick me up.,"While oxyicotin is a prescription drug, it's not safe to use off label. Let's find other ways to manage your mood without abusing prescription medication.",Why do you think oxy is better for you than heroin?,Oxy can be damaging to your mind and body. I would recommend talking to your doctor about ways to quit before it does too much damage.,"There are several other things that make you really happy and that is still good for your health, value it.",oxy is still illegal when not prescribed for a medical reason. What have you done to quit if you wish to do so?,drug cessation
"I know weed can turn you into a zombie and it ain’t good for me, but it really helps me when I am nervous, in social situations I feel more relaxed after I smoke. Takes the edge off.","While you do think smoking helps you when you're feeling nervous, you are starting to feel it might not be that good for you and that you might be becoming too reliant on it.",You don't really love the way that you feel after smoking weed - it makes you feel a little unfocused and not as sharp as usual.,You know weed isn't that good for you but you find it helps you.,"Sounds like you have social anxiety and need to find new coping strategies to help you manage your symptoms, and still enjoy being in social situations. ",So you'd prefer to be a zombie than a nervous wreck?,"Don't do that, and start socializing in a normal way.",I think legal cannibis in small wuantities is ok but you need to be careful not to use that as a crutch,Don't listen to any bitch who's against weed. It's helpful and the only reason it's still criminalized is because of the old men in congress who make so much money for their shit work that they can afford to live into their hundreds and keep fucking doing it. Smoke that weed baby,drug cessation
I would quit if I had another way to cope with all the stress,You’re starting to think about what it would take to quit for good.,"In order to be successful, you’d need to find a new coping mechanism.",You know you need a coping mechanism in place to quit.,There are many healthy ways to cope with stress. Let's talk about a few options now.,What else have you tried?,"Giving up isn't always the best option, think about it.",IF YOU HAVE ANOTHER WAY TO COPE WITH ALLTHE STRESS YOU CAN GO WITH THAT SO THAT YOUR STRESS WILL RELEASE,"What if we try to develop other ways for you to cope? Usually exercise and meditation are two ways people try to cope with stress. Let's also think about your sleep, which is just as important.",drug cessation
I think maybe I am addicted to the bull.  That scares me.  Maybe it’s time to do something about it.,The thought of being addicted is concerning to you so you’re starting to think about what you can do.,You really don't like the idea of being addicted to something.,You think you are addicted to bull.,"You should intervene now that you're worried you're addicted. If you're not now, it sounds like you will be later. ",Have you considered avoiding places where you get it?,The first step is to admit you have a problem. I think you should seek counseling.,Realising you have a problem is the first step to solving it,Then it is good you are here. We can work on why you gravitate towards drama and some ways to step away from it.,drug cessation
"I know, I know, I have to quit, every day I say this is my last dip. I just need a little push.","You find yourself trying to quit every day. You're motivated to quit, you just haven't found the right tools to get you there. ",You realize that it'd be best to quit. You think that with support you might be successful.,You know it'd be best to quit.,I can give you a little push. You're ruining your health and need to quit.,You said today was your last day too?,FIND YOUR REASON WHY YOU WANT TO LEAVE AND REMEMBER THAT WHEN YOU FEEL LIKE STAYING. IMAGINE HOW GREAT YOU FEEL AFTER ACCOMPLISHING,What kind of push do you feel you need?,You could give me your bottle of pills to hold onto for you so you could try a little harder not to take the pills just once.,drug cessation
"Of course, I want a healthy baby, I just need to get through this pregnancy. My other son is so worried about me chewing. I don’t want him to worry.",You really want a healthy baby and you recognize that you may need to quit chewing to have one.,Your little boy is worried that you might harm his little brother/sister by chewing while you're pregnant.,You don't want to worry your son.,"Your son wouldn't need to worry if you weren't chewing. You need to find ways to quit to protect yourself and your baby, while reducing stress for your young son. He's impressionable and needs to feel safe.",Do you know what the negative consequences are for chewing and pregancy?,I would listen to your son. Plenty of people have gotten through their pregnancies without that stuff.,Maybe you should talk with your son about it and reassure him that you will be fine.,Chewing is definitely bad for your health and the baby i suggest you try to cut down or quit.,drug cessation
"I’m not ready to stop today, but soon. I know I have to stop, everything I read says it is bad. I think about it a lot, I know my husband would be relieved.",Every day it feels like you’re getting closer and closer to your time to quit.,You’re not quite ready to quit just yet but you’re starting to think about the benefits of quitting.,Your husband would be happy if you quit.,"Don't quit for your husband. Quit for yourself. You know what to do, so now you just need to follow through.",Do you think it's bad for you?,Have you thought about setting a quit date? That way you will have time to make a plan and be ready for the first day you quit.,"It’s not an easy thing to do, but it’s something that you know you need to do.","Talk to your husband, and know that all actions have consequences.",drug cessation
Maybe if I got a little more exercise it would help me quit.,"If you could figure out a way to get more exercise, you think you might be able to quit.",You've started to think about things you can do to help you quit smoking. One of the ideas you've come up with is trying to get more physical activity each day.,You think exercise can help you quit.,Exercise is a great stress reducer and increases your energy. You can harness that energy to help you quit.,Why would getting exercise help you?,"If that’s what you think it’s gonna take, then you need to get in more exercise. Quitting is the thing that matters the most here and if exercise is going to help you do it, then get started on it.",Exercises are essential for good physical and mental health.,"keeping a positive mindset is key to growing, exercise will help overall.",drug cessation
"I know I should quit, I know it’s bad for my baby, but everyone I know does it.","You’d really like to quit for yourself and for your baby, but you’re worried you might not get the support you need since everyone close to you also smokes. ","In order to quit, it sounds like you'd need to think about who could be on your support team who doesn't smoke. ",You know you should quit for your baby.,You can't base your health decisions on what your friends are doing. You have to take care of yourself and your baby so you can watch them grow up.,Have you thought about finding new friends who don't use?,"You are not everyone and another you have a baby, a life does not harm his life.","You have to think about the future and well-being of your baby, try to find a balance.","Just because everyone else does it, doesnt make it okay",drug cessation
"I drink a bit and smoke a little weed, sure it ain’t good for me, but I don’t see how I can make it through without it. I am anxious from the nightmares. It's not like I am a drug addict. I'll stop in a few months, after I get settled into being back home. ",You eventually would like to be get through your day without weed.,You're a little concerned about how much you rely on alcohol and marijuana to get through your days.,You use alcohol and weed to deal with your anxiety and get through your days.,You're using substances to cope with the transition of being back home. Let's consider what other ways you can manage your stress.,What makes you certain you'll quit in a few months?,yes,"Drugs hold you back, think about it and think about your future.",Theres nothing wrong with you but there are more ways to express yourself and cope.,drug cessation
"If I try to quit drinking, I’ll have to go live on an island by myself for a month or so.  And I can’t do that, I have a family.  My kids need me.  And it’s not fair to them that I take out my anger on them.  And usually when I try to quit, my husband will hand me a drink after a couple hours and beg me to have some so I shut up.","Your drinking is causing conflict in your family. You're at a place where you know it'd be best for your family if you were to quit, but you're not sure how to make that happen without leaving to detox. ","You haven't been successful giving up alcohol in the past. Your husband has been known to jepordize your plans when you star to get cranky. If there was a way to sit down with him and come up with a plan together for this attempt at quitting for good, things could potentially turn out a bit different. ",You don't know how you're going to be able to quit drinking.,You need to manage your anger with something that's not alcohol if you want to quit sucessfully.,Have you tried reading an anger management book?,"You need to go to someone who is competent that can really help you and your family, but you are really brave to share your thinks.","Don't live that kind of life anymore, don't accept it, value your life and especially the lives of your children.","You're right to think about your family and the impact you can have on their wellbeing, so let's look more deeply into why you feel you need the drink.",drug cessation
"Yeah  since they cut down my juice dose. I’ve been drinking a little bit, at least it’s legal, hell I have two kids and no help. It beats trying to use on top, haven’t done that for weeks.",It's been a struggle since your dose has been reduced. You've found that you've had to turn to alcohol to get you through.,You're on your own with the kids and don't have much support. Turning to alcohol helps get you through now that your dose has been cut down.,You want to take the edge off now that your dose has reduced.,Adding alcohol will only worsen your withdraw and could have additional negative health consequences.,How is alcohol going to help you?,What if you could find some other healthy way to cope with stress that doesn't involve drugs or alcohol?,Always follow what is indicated by an expert.,Do you not think that drinking a little may lead to bigger problems?,drug cessation
"If I want to find a job, I know I can.  I got good grades in high school, but right now, I just want to figure out where to live without having to be around these smack heads, being around them is bad for me.",You're ready to turn your life around. You know you have the skills to find a good job and provide for yourself. You just need to figure out a way to remove yourself from this situation.,"If you didn't have to live around so many bad influences, you'd be able to put effort into getting clean and sober. ",You're ready to find a new place to live so you can clean yourself up.,You need to find a different place to live that's clean and safe. You can't stay sober where you are now. Finding a job will help you qualify for better housing.,Why don't you want to work?,THAT JOB COULD HELP YOU ACCOMPLISH MOVIN OUT PLUS YOU WOULD BE OUT THE HOUSE MOST OF THE DAY WHICH WILL EASE TENSION,What about being around them is bad for you?,"If you can devote some time to finding a decent job, you will be able to work yourself out of having to live where you don't want to..",drug cessation
Have you ever tried to get off coke ? Do you have any idea how hard it is to quit this stuff?,You believe that I may not understand exactly how hard your struggle is.,It's important to you that others understand how hard it is to get off coke.,Trying to get off coke has been really hard on you.,You need to focus on sobriety and finding people that want to live clean and healthy. You need to surround yourself with others who want what's best for you.,Will you sign this recommit to quit contact?,"No I’ve never had to do this. But I’ve also talked to a lot of people that have, so I know that it can be done with hard work and dedication.","If it were easy you wouldn't ask for help right, look for help and just change it just up to you.","I have never used drugs so no, I don't know how hard it must be. However, I do know of the epidemic going on and want to help you if I can.",drug cessation
Have you ever smoked ? Do you have any idea how hard it is to quit,You're worried that because I'm not a smoker I can't understand what you're going through.,It is important to you that I understand how difficult quitting can be.,Trying to quit smoking has been really hard on you.,You're losing your resolve to quit. You must refocus on your reasons for wanting to quit.,Have you considered your negative attitude is keeping you addicted?,My spouse has. She's had cancer 3 times now. Your body isn't turning on you: the issue is simply one of error in the system. You have billions of cells and not all are perfect.,"This is a disease that can be overcome with good will, don't be discouraged.","I have not personally had any form of cancer, but I have counselled many people who have enough to know that every person's situation is unique and challenging.",drug cessation
Sometimes I feel like not knowing if I will get Huntington’s disease might be better than knowing.  What’s the point of knowing if there is no cure.,Sometimes it feels like it might be easier to keep moving forward without the test results.,"If there waws a cute for Hungtington's or treatments options that could slow the progression, you might feel differently about getting your results. ",You don't want to know if you have Huntington's disease because there's no cure.,There are many reasons to know if you will get Huntington's disease or not. Let me tell you some of them.,Who taught you it's better not to know?,I realize that is a difficult decision to make. Have you made a list of pro's and con's of knowing or not knowing? Perhaps that will help you make a decision.,"I think that it’s more of an ease of mine thing. Even if you don’t know, you’ll still be worried about it.","Don't think of it that way, diseases can be avoided, and if you get caught, fight it.",health issues / lifestyle
